Composition, Result
Fe10.5Co10.5Ni10.5Cr10.5Cu10.5Ti10.5Mo10.5Al10.5Si10.5Be5.5,Success!
Fe14.3Co14.3Ni14.3Cr14.3Al42.8,Success!
AL23Co15Cr23Cu8Fe15Ni15,Fail!,<-------,Could not parse the composition! Required for upload. Aborting upload!
Cr20Mn20Fe20Co20Ni20,Success!
Cr20Mn20Fe20Co20Ni21,Success!
Cr20Mn20Fe20Co20Ni22,Success!
Al16.7Cr16.7Fe16.7Ni33.2Cu16.7,Success!
Al16.7Cr16.7Fe16.7Ni33.2Cu16.8,Success!
Al5.9Cr29.4Fe29.4Ni29.4Ti5.9,Success!
Al18Cr21Fe20Co20Ni21,Success!
Al15.5Cr22.25Fe20Co20Ni22.25,Success!
Al13Cr23.5Fe20Co20Ni23.5,Success!
CrCoNi,Success!
CrCoNi,Success!
CrCoNi,Success!
Nb25Mo25Ta25W25,Success!
Nb25Mo25Ta25W25,Success!
Ti25Zr25Nb25Ta25,Success!
Ti23.75Zr23.75Nb23.75Ta23.75Mo5,Success!
Ti22.5Zr22.5Nb22.5Ta22.5Mo10,Success!
Ti20Zr20Nb20Ta20Mo20,Success!
V10Cr10Fe45Co20Ni15,Success!
V10Cr10Fe45Co20Ni15,Success!
Ti25V25Nb25Ta25,Success!
Fe41Co7Cr15Mo14C15B6Y2,Success!
Zr41.2Ti13.8Cu12.5Ni10Be22.5,Success!
Ni59Zr20Ti16Si2Sn3,Success!
(Zr0.25Hf0.25Ta0.25Ti0.25)C,Success!
Mo,Success!
Mo,Success!
W,Success!
