Composition, Result
Nb40Ti40Si15Al5,Fail!,<-------,Could not parse the composition! Required for upload. Aborting upload!
FeNiCoMo,Fail!,<-------,Could not parse the composition! Required for upload. Aborting upload!
NiAl,Fail!,<-------,Could not parse the composition! Required for upload. Aborting upload!
NiAl/Mo,Fail!,<-------,Could not parse the composition! Required for upload. Aborting upload!
V,Fail!,<-------,Could not parse the composition! Required for upload. Aborting upload!
MoSi,Fail!,<-------,Could not parse the composition! Required for upload. Aborting upload!
Al23Cr23Co15Cu8Fe15Ni15,Fail!,<-------,Could not parse the composition! Required for upload. Aborting upload!
AlCrFeNi2Cu,Fail!,<-------,Could not parse the composition! Required for upload. Aborting upload!
AlCrFeNi2Cu,Fail!,<-------,Could not parse the composition! Required for upload. Aborting upload!
Al0.2CrFeNiTi0.2,Fail!,<-------,Could not parse the composition! Required for upload. Aborting upload!
FeCoNiCrCuTiMoAlSiB0.,Fail!,<-------,Could not parse the composition! Required for upload. Aborting upload!
Al23Cr23Co15Cu8Fe15Ni15,Fail!,<-------,Could not parse the composition! Required for upload. Aborting upload!
Zr61Ti2Cu25Al12,Fail!,<-------,Could not parse the composition! Required for upload. Aborting upload!
CoCrFeNiAl0.25Ti0.5,Fail!,<-------,Could not parse the composition! Required for upload. Aborting upload!
Nb5Si3,Fail!,<-------,Could not parse the composition! Required for upload. Aborting upload!
NbTi40Si15Al5,Fail!,<-------,Could not parse the composition! Required for upload. Aborting upload!
W,Fail!,<-------,Could not parse the composition! Required for upload. Aborting upload!
W,Fail!,<-------,Could not parse the composition! Required for upload. Aborting upload!
W,Fail!,<-------,Could not parse the composition! Required for upload. Aborting upload!
WSi2,Fail!,<-------,Could not parse the composition! Required for upload. Aborting upload!
MoSI2,Fail!,<-------,Could not parse the composition! Required for upload. Aborting upload!
